cell,n_informative,concept,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19
ninf3_gradual,3,15,-0.0068,0.0049,-0.0176,0.0122,0.0063,-0.0045,-0.0113,0.0052,0.0094,-0.0047,0.0057,-0.0071,-0.0032,-0.0041,-0.016,-0.0075,-0.0049,-0.0121,0.0016,-0.0093
ninf3_gradual,3,16,0.0017,0.0059,-0.0012,0.0017,-0.0085,-0.001,-0.0028,0.0016,-0.0054,0.0002,0.0057,0.0024,0.0005,-0.0021,0.008,0.0013,-0.0001,-0.0028,-0.0016,0.0029
ninf3_gradual,3,17,-0.009,0.0045,0.0158,-0.0094,-0.0074,-0.0037,0.0051,0.0011,0.011,0.0004,0.003,0.0018,-0.0027,-0.0043,-0.0016,-0.0081,0.0043,0.0156,0.0081,0.0996
ninf3_gradual,3,18,0.0062,-0.002,-0.0042,0.0111,0.0013,-0.0003,0.0017,-0.0002,0.0057,0.0078,0.0026,0.007,-0.0001,-0.0062,-0.0108,0.0075,0.0009,0.0022,0.0014,0.2504
ninf3_gradual,3,19,0.0007,0.0098,0.0077,-0.009,0.0145,0.0074,0.0013,-0.0028,0.004,0.0056,-0.0192,0.0019,0.0012,-0.0116,0.0048,-0.0051,-0.0209,0.0005,0.0046,0.4239
ninf3_gradual,3,20,0.0003,0.0082,0.0015,-0.0116,-0.0009,-0.0064,0.0031,0.0079,-0.0012,-0.0107,0.0023,0.003,-0.0068,-0.0039,0.0005,0.003,0.0016,0.0022,0.002,0.482
ninf3_gradual,3,21,-0.0038,-0.0031,-0.0103,-0.082,-0.0097,-0.0046,-0.0031,0.0003,0.0006,-0.0856,-0.0036,0.0076,0.0051,-0.0095,0.0014,0.011,0.002,-0.0189,0.009,0.4109
ninf3_gradual,3,22,-0.0038,-0.0012,-0.0005,-0.2611,0.0064,0.0044,-0.0006,0.0042,-0.0023,-0.2613,0.0105,-0.0017,-0.002,0.0081,0.0036,0.0039,-0.008,-0.006,0.0004,0.2424
ninf3_gradual,3,23,0.0005,0.009,0.0026,-0.4073,0.0103,0.0132,-0.0003,0.0148,0.0073,-0.4203,-0.0085,0.0002,0.0067,0.0011,0.0028,-0.0058,0.0102,0.0033,-0.0084,0.0705
ninf3_gradual,3,24,0.0025,-0.0014,0.0031,-0.4752,0.0054,-0.0023,0.0007,-0.0031,0.0022,-0.4815,0.0066,0.003,0.004,-0.0059,-0.0025,-0.0003,-0.0017,0.0076,0.0097,0.0182
ninf5_gradual,5,0,0.4856,-0.0012,0.4709,-0.0362,-0.0195,0.0129,-0.9671,-0.0008,0.0031,0.0026,-0.0022,0.0002,0.016,-0.005,-0.0058,-0.0006,0.0061,-0.0026,0.0019,0.4791
ninf5_gradual,5,1,0.3992,-0.0116,0.4398,-0.1542,-0.0789,0.0945,-0.827,-0.0046,-0.0011,-0.0047,-0.0021,0.0153,0.0936,0.0088,-0.0021,-0.0104,0.0001,-0.0034,-0.0019,0.412
ninf5_gradual,5,2,0.2474,-0.002,0.2666,-0.4971,-0.2473,0.2517,-0.501,-0.002,0.0033,0.0047,-0.0035,0.0068,0.2474,0.0003,-0.0083,-0.0063,0.0004,-0.0027,0.0047,0.2518
